recall per class ['0/0', '0/2', '0/8', '0/20', '0/0', '0/0', '98/98']
recall per class ['0/0', '0/3', '0/3', '0/18', '0/1', '0/0', '103/103']
recall per class ['0/0', '0/4', '0/5', '0/20', '0/0', '0/0', '99/99']
recall per class ['0/1', '0/4', '0/7', '0/11', '0/0', '0/0', '105/105']
recall per class ['0/0', '0/3', '0/9', '0/17', '0/2', '0/0', '97/97']
recall per class ['0/0', '0/3', '0/5', '0/16', '0/1', '0/0', '103/103']
recall per class ['0/0', '0/3', '0/7', '0/18', '0/3', '0/0', '97/97']
recall per class ['0/0', '0/2', '0/2', '0/18', '0/1', '0/0', '105/105']
recall per class ['0/0', '0/2', '0/3', '0/25', '0/3', '0/0', '95/95']
recall per class ['0/0', '0/2', '0/6', '0/17', '0/1', '0/0', '102/102']
recall per class ['0/0', '0/2', '0/7', '0/17', '0/1', '0/0', '101/101']
recall per class ['0/0', '0/2', '0/9', '0/13', '0/2', '0/0', '102/102']
recall per class ['0/0', '0/1', '0/2', '0/25', '0/4', '0/0', '96/96']
recall per class ['0/0', '0/2', '0/3', '0/19', '0/2', '0/0', '102/102']
recall per class ['0/0', '0/2', '0/7', '0/17', '0/5', '0/0', '97/97']
recall per class ['0/0', '0/1', '0/7', '0/17', '0/2', '0/0', '101/101']
recall per class ['0/0', '0/1', '0/8', '0/16', '0/3', '0/0', '100/100']
recall per class ['0/0', '0/0', '0/7', '1/22', '0/2', '0/0', '97/97']
recall per class ['0/0', '0/3', '0/4', '0/18', '0/1', '0/0', '102/102']
recall per class ['0/0', '0/3', '0/7', '1/19', '0/0', '0/0', '96/99']
recall per class ['0/0', '0/2', '0/7', '8/24', '0/0', '0/0', '79/95']
recall per class ['0/0', '0/2', '0/6', '10/17', '0/1', '0/0', '84/102']
recall per class ['0/0', '0/2', '0/9', '8/19', '0/0', '0/0', '79/98']
recall per class ['0/0', '0/3', '0/4', '2/15', '0/0', '0/0', '98/106']
recall per class ['0/0', '0/3', '0/2', '6/21', '0/1', '0/0', '83/101']
recall per class ['0/0', '0/2', '0/12', '6/19', '0/1', '0/0', '84/94']
recall per class ['0/0', '0/3', '0/4', '7/15', '0/2', '0/0', '88/104']
recall per class ['0/0', '0/6', '0/6', '4/18', '0/0', '0/0', '85/98']
recall per class ['0/0', '0/3', '0/7', '6/18', '0/0', '0/0', '87/100']
recall per class ['0/0', '0/2', '0/7', '3/19', '0/1', '0/0', '88/99']
recall per class ['0/0', '0/2', '0/9', '6/20', '0/0', '0/0', '79/97']
recall per class ['0/0', '0/3', '0/9', '6/19', '0/1', '0/0', '74/96']
recall per class ['0/0', '0/4', '0/9', '9/16', '0/0', '0/0', '80/99']
recall per class ['0/0', '0/2', '0/3', '6/18', '0/0', '0/0', '93/105']
recall per class ['0/0', '0/3', '0/3', '8/18', '0/2', '0/0', '82/102']
recall per class ['0/0', '0/5', '0/9', '9/20', '0/2', '0/0', '65/92']
recall per class ['0/0', '0/0', '0/5', '7/23', '0/2', '0/0', '77/98']
recall per class ['0/0', '0/4', '0/9', '10/24', '0/1', '0/0', '63/90']
recall per class ['0/0', '0/4', '0/7', '7/15', '0/0', '0/0', '84/102']
recall per class ['0/0', '0/5', '0/2', '11/16', '0/1', '0/0', '83/104']
recall per class ['0/0', '0/5', '0/3', '7/24', '0/1', '0/0', '78/95']
recall per class ['0/0', '0/4', '0/11', '11/15', '0/1', '0/0', '64/97']
recall per class ['0/1', '0/4', '0/5', '5/17', '0/1', '0/0', '84/100']
recall per class ['0/0', '0/1', '0/4', '5/18', '0/1', '0/0', '85/104']
recall per class ['0/0', '0/2', '0/6', '5/17', '0/1', '0/0', '78/102']
recall per class ['0/0', '0/2', '0/4', '7/21', '0/1', '0/0', '84/100']
recall per class ['0/0', '0/1', '0/7', '6/18', '0/0', '0/0', '89/102']
recall per class ['0/0', '0/2', '0/5', '6/17', '0/1', '0/0', '82/103']
recall per class ['0/0', '0/4', '0/7', '5/15', '0/1', '0/0', '87/101']
recall per class ['0/0', '0/0', '0/8', '8/16', '0/1', '0/0', '72/103']
recall per class ['0/0', '0/2', '0/8', '8/21', '0/1', '0/0', '74/96']
recall per class ['0/0', '0/3', '0/8', '8/17', '0/1', '0/0', '86/99']
recall per class ['0/0', '0/2', '0/7', '5/16', '0/1', '0/0', '81/102']
recall per class ['0/0', '0/2', '0/7', '7/18', '0/2', '0/0', '67/99']
recall per class ['0/0', '0/4', '0/7', '5/20', '0/1', '0/0', '77/96']
recall per class ['0/0', '0/0', '0/7', '6/16', '0/0', '0/0', '84/105']
recall per class ['0/0', '0/1', '0/16', '5/16', '0/0', '0/0', '74/95']
recall per class ['0/0', '0/2', '0/3', '7/17', '0/1', '0/0', '76/105']
recall per class ['0/0', '0/3', '0/8', '5/12', '0/2', '0/0', '75/103']
recall per class ['0/0', '0/0', '0/2', '8/18', '0/2', '0/0', '87/106']
recall per class ['0/0', '0/1', '0/2', '5/18', '0/1', '0/0', '84/106']
recall per class ['0/0', '0/2', '0/9', '4/15', '0/0', '0/0', '89/102']
recall per class ['0/0', '0/7', '0/5', '8/22', '0/1', '0/0', '70/93']
recall per class ['0/0', '0/7', '0/7', '10/24', '0/2', '0/0', '73/88']
recall per class ['0/0', '0/2', '0/8', '8/13', '0/1', '0/0', '83/104']
recall per class ['0/0', '0/2', '0/6', '4/14', '0/1', '0/0', '84/105']
recall per class ['0/0', '0/3', '0/8', '4/15', '0/0', '0/0', '87/102']
recall per class ['0/0', '0/5', '0/8', '5/20', '0/0', '0/0', '70/95']
recall per class ['0/0', '0/2', '0/9', '9/19', '0/2', '0/0', '83/96']
recall per class ['0/0', '0/3', '0/9', '9/24', '0/0', '0/0', '73/92']
recall per class ['0/0', '0/2', '0/5', '4/19', '0/3', '0/0', '80/99']
recall per class ['0/0', '0/3', '0/4', '11/25', '0/1', '0/0', '74/95']
recall per class ['0/0', '0/1', '0/5', '7/18', '0/1', '0/0', '90/103']
recall per class ['0/0', '0/8', '0/6', '5/19', '0/0', '0/0', '74/95']
recall per class ['0/0', '0/8', '0/2', '8/20', '0/4', '0/0', '68/94']
recall per class ['0/0', '0/0', '0/4', '2/17', '0/2', '0/0', '92/105']
recall per class ['0/0', '0/4', '0/8', '10/16', '0/0', '0/0', '78/100']
recall per class ['0/0', '0/3', '0/5', '4/15', '0/3', '0/0', '88/102']
recall per class ['0/0', '0/1', '0/3', '8/13', '0/1', '0/0', '84/110']
recall per class ['0/0', '0/2', '0/4', '5/17', '0/0', '0/0', '93/105']
recall per class ['0/0', '0/4', '0/7', '6/18', '0/0', '0/0', '81/99']
recall per class ['0/0', '0/2', '0/9', '5/17', '0/1', '0/0', '80/99']
recall per class ['0/0', '0/3', '0/10', '4/14', '0/0', '0/0', '89/101']
recall per class ['0/0', '0/4', '0/6', '5/15', '0/2', '0/0', '86/101']
recall per class ['0/0', '0/3', '1/10', '11/17', '0/1', '0/0', '74/97']
recall per class ['0/0', '0/3', '0/8', '3/12', '0/1', '0/0', '85/104']
recall per class ['0/0', '0/6', '0/7', '5/18', '0/2', '0/0', '81/95']
recall per class ['0/0', '0/2', '0/2', '7/19', '0/2', '0/0', '87/103']
recall per class ['0/0', '0/2', '0/7', '7/16', '0/0', '0/0', '83/103']
recall per class ['0/0', '0/6', '0/6', '8/14', '0/3', '0/0', '81/99']
