['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '89/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '97/128']
['0/0', '0/0', '0/0', '5/21', '0/0', '0/0', '83/107']
['0/0', '0/0', '0/0', '6/29', '0/0', '0/0', '85/99']
['0/0', '0/0', '0/0', '5/30', '0/0', '0/0', '81/98']
['0/0', '0/0', '0/0', '3/28', '0/0', '0/0', '81/100']
['0/0', '0/0', '1/2', '5/32', '0/0', '0/0', '76/94']
['0/0', '0/0', '0/0', '5/43', '0/0', '0/0', '76/85']
['0/0', '0/0', '0/5', '2/22', '0/0', '0/0', '87/101']
['0/0', '0/0', '1/5', '5/31', '0/0', '0/0', '80/92']
['0/0', '0/0', '3/8', '4/14', '0/0', '0/0', '86/106']
['0/0', '0/0', '1/7', '7/39', '0/0', '0/0', '67/82']
['0/0', '0/0', '0/2', '4/39', '0/0', '0/0', '72/87']
['0/0', '0/0', '0/1', '2/30', '0/0', '0/0', '82/97']
['0/0', '0/0', '0/0', '11/49', '0/0', '0/0', '65/79']
['0/0', '0/0', '2/8', '7/21', '0/0', '0/0', '85/99']
['0/0', '0/0', '0/3', '8/43', '0/0', '0/0', '74/82']
['0/0', '0/0', '0/0', '8/32', '0/0', '0/0', '79/96']
['0/0', '0/0', '0/2', '7/41', '0/0', '0/0', '69/85']
['0/0', '0/0', '1/2', '6/23', '0/0', '0/0', '85/103']
['0/0', '0/0', '1/2', '5/24', '0/0', '0/0', '85/102']
['0/0', '0/1', '2/12', '9/30', '0/0', '0/0', '72/85']
['0/0', '0/0', '0/3', '8/31', '0/0', '0/0', '75/94']
['0/0', '0/0', '0/4', '5/26', '0/0', '0/0', '80/98']
['0/0', '0/0', '1/7', '7/26', '0/0', '0/0', '73/95']
['0/0', '0/0', '2/5', '11/37', '0/0', '0/0', '69/86']
['0/0', '0/0', '1/16', '8/31', '0/0', '0/0', '66/81']
['0/0', '0/0', '0/7', '8/32', '0/0', '0/0', '75/89']
['0/0', '0/0', '3/8', '4/30', '0/0', '0/0', '79/90']
['0/0', '0/2', '6/15', '1/23', '0/0', '0/0', '77/88']
['0/0', '0/0', '3/13', '6/33', '0/0', '0/0', '71/82']
['0/0', '0/0', '1/7', '10/28', '0/0', '0/0', '70/93']
['0/0', '0/0', '2/6', '6/34', '0/0', '0/0', '70/88']
['0/0', '0/0', '4/7', '8/23', '0/0', '0/0', '86/98']
['0/0', '0/0', '2/12', '3/18', '0/0', '0/0', '80/98']
['0/0', '0/1', '4/19', '7/29', '0/0', '0/0', '67/79']
['0/0', '0/0', '1/10', '9/23', '0/0', '0/0', '82/95']
['0/0', '0/0', '1/9', '3/20', '0/0', '0/0', '85/99']
['0/0', '0/2', '2/11', '8/24', '0/0', '0/0', '81/91']
['0/0', '0/0', '2/10', '5/30', '0/0', '0/0', '74/88']
['0/0', '0/0', '5/12', '8/27', '0/0', '0/0', '79/89']
['0/0', '0/1', '6/16', '10/27', '0/0', '0/0', '68/84']
['0/0', '0/0', '3/16', '7/18', '0/0', '0/0', '81/94']
['0/0', '0/0', '3/20', '4/25', '0/0', '0/0', '67/83']
['0/0', '0/0', '2/12', '5/26', '0/0', '0/0', '82/90']
['0/0', '0/0', '3/7', '6/19', '0/0', '0/0', '88/102']
['0/0', '3/5', '1/11', '10/27', '0/0', '0/0', '70/85']
['0/0', '0/0', '2/13', '3/16', '0/0', '0/0', '85/99']
['0/0', '0/0', '6/15', '7/22', '0/0', '0/0', '79/91']
['0/0', '0/0', '1/2', '7/32', '0/0', '0/0', '75/94']
['0/0', '2/5', '2/14', '5/19', '0/0', '0/0', '80/90']
['0/0', '0/0', '3/13', '5/21', '0/0', '0/0', '83/94']
['0/0', '1/1', '6/19', '8/18', '0/0', '0/0', '83/90']
['0/0', '0/0', '6/11', '5/19', '0/0', '0/0', '86/98']
['0/0', '0/0', '8/24', '4/14', '0/0', '0/0', '80/90']
['0/0', '0/1', '2/7', '9/19', '0/0', '0/0', '89/101']
['0/0', '0/1', '5/13', '8/25', '0/0', '0/0', '76/89']
['0/0', '0/0', '5/11', '4/17', '0/0', '0/0', '84/100']
['0/0', '0/1', '1/7', '10/25', '0/0', '0/0', '87/95']
['0/0', '0/1', '5/14', '5/16', '0/0', '0/0', '89/97']
['0/0', '1/3', '4/12', '5/18', '0/0', '0/0', '81/95']
['0/0', '0/0', '4/14', '5/21', '0/0', '0/0', '83/93']
['0/0', '0/0', '3/5', '4/24', '0/0', '0/0', '81/99']
['0/0', '0/2', '5/14', '1/10', '0/0', '0/0', '89/102']
['0/0', '0/2', '3/10', '6/19', '0/0', '0/0', '87/97']
['0/0', '0/0', '4/9', '12/27', '0/0', '0/0', '78/92']
['0/0', '0/0', '3/9', '7/21', '0/0', '0/0', '85/98']
['0/0', '0/2', '3/13', '8/23', '0/0', '0/0', '82/90']
['0/0', '1/1', '5/9', '8/19', '0/0', '0/0', '91/99']
['0/0', '1/3', '3/12', '7/15', '0/0', '0/0', '81/98']
['0/0', '0/1', '4/11', '3/20', '0/0', '0/0', '84/96']
['0/0', '0/0', '3/12', '5/20', '0/0', '0/0', '82/96']
['0/0', '0/1', '3/12', '9/28', '0/0', '0/0', '77/87']
['0/0', '1/2', '3/8', '3/22', '0/0', '0/0', '83/96']
